"vehicle_make_name","Frequency","sas_yr_of_crsh","sas_mnth_of_crsh"
"Jaguar","9","2016","Jun"
"Jaguar","9","2016","Jul"
"Jaguar","11","2016","Aug"
"Jaguar","3","2016","Sep"
"Jaguar","7","2016","Oct"
"Jaguar","6","2016","Nov"
"Jaguar","8","2016","Dec"
"Jeep/Kaiser-Jeep/Willys Jeep","118","2015","Jan"
"Jeep/Kaiser-Jeep/Willys Jeep","126","2015","Feb"
"Jeep/Kaiser-Jeep/Willys Jeep","143","2015","Mar"
"Jeep/Kaiser-Jeep/Willys Jeep","128","2015","Apr"
"Jeep/Kaiser-Jeep/Willys Jeep","151","2015","May"
"Jeep/Kaiser-Jeep/Willys Jeep","180","2015","Jun"
"Jeep/Kaiser-Jeep/Willys Jeep","179","2015","Jul"
"Jeep/Kaiser-Jeep/Willys Jeep","195","2015","Aug"
"Jeep/Kaiser-Jeep/Willys Jeep","162","2015","Sep"
"Jeep/Kaiser-Jeep/Willys Jeep","166","2015","Oct"
"Jeep/Kaiser-Jeep/Willys Jeep","188","2015","Nov"
"Jeep/Kaiser-Jeep/Willys Jeep","129","2015","Dec"
"Jeep/Kaiser-Jeep/Willys Jeep","110","2016","Jan"
"Jeep/Kaiser-Jeep/Willys Jeep","155","2016","Feb"
"Jeep/Kaiser-Jeep/Willys Jeep","173","2016","Mar"
"Jeep/Kaiser-Jeep/Willys Jeep","179","2016","Apr"
"Jeep/Kaiser-Jeep/Willys Jeep","157","2016","May"
"Jeep/Kaiser-Jeep/Willys Jeep","171","2016","Jun"
"Jeep/Kaiser-Jeep/Willys Jeep","187","2016","Jul"
"Jeep/Kaiser-Jeep/Willys Jeep","168","2016","Aug"
"Jeep/Kaiser-Jeep/Willys Jeep","137","2016","Sep"
"Jeep/Kaiser-Jeep/Willys Jeep","202","2016","Oct"
"Jeep/Kaiser-Jeep/Willys Jeep","179","2016","Nov"
"Jeep/Kaiser-Jeep/Willys Jeep","153","2016","Dec"
"Kawasaki","16","2015","Jan"
"Kawasaki","13","2015","Feb"
"Kawasaki","34","2015","Mar"
"Kawasaki","52","2015","Apr"
"Kawasaki","63","2015","May"
"Kawasaki","64","2015","Jun"
"Kawasaki","69","2015","Jul"
"Kawasaki","68","2015","Aug"
"Kawasaki","67","2015","Sep"
"Kawasaki","53","2015","Oct"
"Kawasaki","27","2015","Nov"
"Kawasaki","35","2015","Dec"
"Kawasaki","12","2016","Jan"
"Kawasaki","22","2016","Feb"
"Kawasaki","35","2016","Mar"
"Kawasaki","47","2016","Apr"
"Kawasaki","61","2016","May"
"Kawasaki","62","2016","Jun"
"Kawasaki","80","2016","Jul"
"Kawasaki","78","2016","Aug"
"Kawasaki","79","2016","Sep"
"Kawasaki","46","2016","Oct"
"Kawasaki","45","2016","Nov"
"Kawasaki","34","2016","Dec"
"Kenworth","50","2015","Jan"
"Kenworth","40","2015","Feb"
"Kenworth","38","2015","Mar"
"Kenworth","38","2015","Apr"
"Kenworth","46","2015","May"
"Kenworth","49","2015","Jun"
"Kenworth","54","2015","Jul"
"Kenworth","56","2015","Aug"
"Kenworth","56","2015","Sep"
"Kenworth","45","2015","Oct"
"Kenworth","50","2015","Nov"
"Kenworth","41","2015","Dec"
"Kenworth","32","2016","Jan"
"Kenworth","40","2016","Feb"
"Kenworth","48","2016","Mar"
"Kenworth","43","2016","Apr"
"Kenworth","45","2016","May"
"Kenworth","47","2016","Jun"
"Kenworth","49","2016","Jul"
"Kenworth","50","2016","Aug"
"Kenworth","57","2016","Sep"
"Kenworth","67","2016","Oct"
"Kenworth","43","2016","Nov"
"Kenworth","42","2016","Dec"
"Kia","87","2015","Jan"
"Kia","94","2015","Feb"
"Kia","76","2015","Mar"
"Kia","89","2015","Apr"
"Kia","95","2015","May"
"Kia","94","2015","Jun"
"Kia","118","2015","Jul"
"Kia","118","2015","Aug"
"Kia","97","2015","Sep"
"Kia","101","2015","Oct"
"Kia","101","2015","Nov"
"Kia","110","2015","Dec"
"Kia","85","2016","Jan"
"Kia","100","2016","Feb"
"Kia","95","2016","Mar"
"Kia","107","2016","Apr"
"Kia","117","2016","May"
"Kia","137","2016","Jun"
"Kia","130","2016","Jul"
"Kia","110","2016","Aug"
"Kia","124","2016","Sep"
"Kia","128","2016","Oct"
"Kia","119","2016","Nov"
"Kia","122","2016","Dec"
"Land Rover","4","2015","Jan"
"Land Rover","2","2015","Mar"
"Land Rover","8","2015","Apr"
"Land Rover","4","2015","May"
"Land Rover","11","2015","Jun"
"Land Rover","11","2015","Jul"
"Land Rover","4","2015","Aug"
"Land Rover","5","2015","Sep"
"Land Rover","3","2015","Oct"
"Land Rover","7","2015","Nov"
"Land Rover","7","2015","Dec"
"Land Rover","3","2016","Jan"
"Land Rover","4","2016","Feb"
"Land Rover","2","2016","Mar"
"Land Rover","8","2016","Apr"
"Land Rover","6","2016","May"
"Land Rover","6","2016","Jun"
"Land Rover","11","2016","Jul"
"Land Rover","6","2016","Aug"
"Land Rover","7","2016","Sep"
"Land Rover","6","2016","Oct"
"Land Rover","12","2016","Nov"
"Land Rover","8","2016","Dec"
"Lexus","45","2015","Jan"
"Lexus","35","2015","Feb"
"Lexus","27","2015","Mar"
"Lexus","61","2015","Apr"
"Lexus","55","2015","May"
"Lexus","54","2015","Jun"
"Lexus","71","2015","Jul"
"Lexus","64","2015","Aug"
"Lexus","52","2015","Sep"
"Lexus","53","2015","Oct"
"Lexus","46","2015","Nov"
"Lexus","54","2015","Dec"
"Lexus","62","2016","Jan"
"Lexus","58","2016","Feb"
"Lexus","47","2016","Mar"
"Lexus","65","2016","Apr"
"Lexus","54","2016","May"
"Lexus","82","2016","Jun"
"Lexus","47","2016","Jul"
"Lexus","85","2016","Aug"
"Lexus","53","2016","Sep"
"Lexus","62","2016","Oct"
"Lexus","41","2016","Nov"
"Lexus","72","2016","Dec"
"Lincoln","44","2015","Jan"
"Lincoln","34","2015","Feb"
"Lincoln","65","2015","Mar"
"Lincoln","38","2015","Apr"
"Lincoln","38","2015","May"
"Lincoln","39","2015","Jun"
"Lincoln","69","2015","Jul"
"Lincoln","38","2015","Aug"
"Lincoln","49","2015","Sep"
"Lincoln","64","2015","Oct"
"Lincoln","59","2015","Nov"
"Lincoln","55","2015","Dec"
"Lincoln","32","2016","Jan"
"Lincoln","43","2016","Feb"
"Lincoln","60","2016","Mar"
"Lincoln","37","2016","Apr"
"Lincoln","55","2016","May"
"Lincoln","53","2016","Jun"
"Lincoln","46","2016","Jul"
"Lincoln","36","2016","Aug"
"Lincoln","26","2016","Sep"
"Lincoln","63","2016","Oct"
"Lincoln","36","2016","Nov"
"Lincoln","51","2016","Dec"
"Mack","20","2015","Jan"
"Mack","14","2015","Feb"
"Mack","12","2015","Mar"
"Mack","22","2015","Apr"
"Mack","31","2015","May"
"Mack","29","2015","Jun"
"Mack","33","2015","Jul"
"Mack","27","2015","Aug"
"Mack","24","2015","Sep"
"Mack","29","2015","Oct"
"Mack","20","2015","Nov"
"Mack","23","2015","Dec"
"Mack","18","2016","Jan"
"Mack","24","2016","Feb"
"Mack","31","2016","Mar"
"Mack","15","2016","Apr"
"Mack","25","2016","May"
"Mack","22","2016","Jun"
"Mack","18","2016","Jul"
